"state","state_abbr","oppose_expansion","gop_governor","percent_favorable_aca","percent_favorable_aca_original_scale","percent_supporting_expansion","percent_supporting_tea_party","obama_share","obama_win","ideology","gop_house","gop_sen","gop_leg","percent_uninsured","percent_uninsured_original_scale","dsh","percent_nonwhite","bal2012","percent_poverty","percent_poverty138","percent_metro","multiplier","low_birthweight","infant_mortality_rate","cancer_incidence","heart_disease_death_rate","life_expectancy"
"Hawaii","HI",0,-0.6,1.00460209199793,61.965456264517,0.645933177058489,-0.801019806216007,1.07714156238513,0.48,-0.606201833461497,-0.58,-0.6,-0.54,-0.774749599266825,8,-0.42899272672344,1.66601461020137,-0.133802034729039,0.66742193155445,0.755843277352734,-0.110114102501455,-0.412835696898518,0.296314028117472,-0.245408599023691,-0.133983191725397,-0.693761359659387,0.796369179665275
"Idaho","ID",1,0.4,-0.925554595340072,28.2992730179373,-0.665378128150352,0.956941667101779,-0.743918048013595,-0.52,0.810114790726184,0.42,0.4,0.46,0.199778198553081,16,-0.375275215059466,-0.353397038527563,-0.141780689155338,0.0105105815992825,0.240963660627438,-0.292762097072979,0.904531733785574,-0.0885637829044102,-0.28716214538536,-0.151214625831813,-0.279162937552183,0.252978533949772
"Illinois","IL",0,-0.6,0.608226757010211,55.0517975187469,0.333985411372552,-0.606318714784678,0.450159976973825,0.48,-0.443321346879493,-0.58,-0.6,-0.54,-0.0438537509018957,14,-0.271171059427718,0.246115794688839,-0.204280148828016,0.0105105815992825,0.0350118139373201,0.416594939197377,-0.467347452650963,0.103114516352538,0.130373318231336,0.314034095041417,0.0983575768868955,0.102036687917687
"Indiana","IN",1,0.4,-0.129427745113571,42.1854785281297,-0.703256721835029,0.0703832035484985,-0.207944120392712,-0.52,0.292407612078311,0.42,0.4,0.46,-0.165669725629384,13,-0.0108500482904018,-0.353397038527563,0.00582441773119849,0.141892851590316,0.0350118139373201,-0.0362279727140044,0.40484063938816,0.0229603849498896,0.297387503678014,-0.295958672325708,0.268578880272374,-0.320600480972151
"Iowa","IA",0,0.4,0.0549083666294509,45.4007062646206,-0.676568256641936,-0.201520916297552,0.181806873774926,0.48,0.159491610649364,0.42,-0.6,-0.54,-0.531117649811848,10,-0.334443554063715,-0.479610266573122,0.0802918590433252,-0.646400768355885,-0.479867802787976,-0.41356235822243,-0.267471014891998,-0.360848453392496,-0.579436969917047,0.556997315941882,-0.0432126160277588,0.313355272362606
"Kansas","KS",0,0.4,-0.284437668959797,39.4817640911206,-0.275172779252411,0.0752554195759045,-0.490377478844203,-0.52,0.231044735476097,0.42,0.4,0.46,-0.165669725629384,13,-0.310306608028339,-0.227183810482005,-0.0965683140729758,-0.120871688391751,-0.170940032752798,-0.234874831824365,-0.212959259139552,-0.0567856917012097,0.339141050039684,0.0590088702664611,-0.184782808942414,0.0114715802984374
"Kentucky","KY",0,-0.6,-0.620754020670721,33.6156662764729,0.0139080602212687,0.867945960081359,-0.51089003995958,-0.52,0.432455688912,-0.58,0.4,-0.54,0.0779622238255925,15,-0.00425873494349109,-0.448056959561732,-0.176354858335969,0.404657391572383,0.446915507317557,-0.52962294770434,0.713740588652016,0.331310774323356,0.0468662255079966,0.820638257770046,0.576999657693585,-0.803614388274819
"Louisiana","LA",1,0.4,-0.108022126182446,42.5588396620569,0.456801365583406,0.238418030958233,-0.377341072976456,-0.52,0.421491734796465,0.42,0.4,0.46,0.687042097463033,20,1.97947559088759,0.277669101700228,-0.115185174401007,0.930186471536518,0.755843277352734,0.200138994629412,0.0868553974988959,1.10257892958236,0.965444245464727,0.563889889584449,0.902274029509399,-0.894179495894069
"Maine","ME",0,0.4,0.159896225730405,47.2319257331465,0.210351722106423,-0.447130678509457,0.415883571641283,0.48,-0.357046291992903,-0.58,-0.6,-0.54,-0.531117649811848,10,0.742518875422741,-0.763590029675628,-0.168376203909669,-0.383636228373818,-0.273915956097857,-0.605030489371906,0.068684812248081,-1.03444090787867,-0.328915691747029,0.569059319816374,-0.417362411587918,0.162413426330522
"Maryland","MD",0,-0.6,0.798575705583475,58.3719023711148,1.02159515085455,-0.576342372003363,0.676767768537979,0.48,-0.702751922196856,-0.58,-0.6,-0.54,-0.165669725629384,13,-0.332045615968196,0.561648864802734,-0.0965683140729758,-0.515018498364852,-0.582843726133035,0.631096584176341,-0.494603330527186,0.201287826465752,0.422648142763023,-0.404516707196128,0.106784374084196,0.0416599495048526
"Massachusetts","MA",0,-0.6,0.501320365957849,53.1871146279692,0.359601079124609,-0.65046570911009,0.603398262242476,0.48,-1.02851259880299,-0.58,-0.6,-0.54,-1.26201349817678,4,0.203849867156441,-0.132523889447836,-0.124493604565023,-0.383636228373818,-0.479867802787976,0.665978499069523,-0.494603330527186,-0.438300395863366,-0.704697609002056,0.26233979272217,-0.43590136542198,0.554862226013941
"Michigan","MI",0,0.4,0.370747865507711,50.9096426714406,-0.214005455108959,-0.322557174686166,0.26975122011935,0.48,-0.144778613239172,0.42,0.4,0.46,-0.287485700356872,12,-0.106595528788288,-0.195630503470615,0.0111435206820647,0.0105105815992825,-0.0679641094077391,0.324341648393371,0.323073005759492,-0.122551532935054,0.422648142763023,0.174459478779448,0.477563450765435,-0.139470265733647
"Minnesota","MN",0,-0.6,0.307022570400516,49.7981331879903,-1.01172624406052,-0.287853472788826,0.228706313541437,0.48,-0.147455684703777,-0.58,-0.6,-0.54,-0.652933624539336,9,-0.316956920213965,-0.384950345538953,-0.0619941448923455,-0.777783038346919,-0.788795572823153,0.015218073429328,-0.494603330527186,-0.506567506587055,-0.537683423555377,0.255447219079603,-0.951621353896793,0.73599244125244
"Mississippi","MS",1,0.4,0.135351281478766,46.8038078521612,0.96740012896803,0.0392354290460087,-0.236676065129621,-0.52,0.521270043725129,0.42,0.4,0.46,0.199778198553081,16,0.288444172329191,0.403882329745787,-0.16438687669652,1.06156874152755,0.961795124042853,-0.824156373977781,1.13166404942076,1.5321977522431,1.38297970908142,0.25200093225832,1.26799702787226,-1.10549808033899
"Missouri","MO",0,-0.6,-0.139133786558529,42.0161837905426,-0.843144555403756,-0.0261693990775634,-0.187801161643023,-0.52,0.281251379631518,0.42,0.4,0.46,-0.0438537509018957,14,0.737225181879966,-0.321843731516174,-0.128482931778173,0.0105105815992825,-0.0679641094077391,0.155643495002621,0.177708323752971,0.0585902507382999,0.213880410954675,0.00386828112593021,0.437114824218391,-0.350788850178566
"Montana","MT",0,-0.6,-0.531216690778629,35.1773944902139,-0.200600832734551,0.557736418166655,-0.295538686930767,-0.52,0.434295708091166,0.42,0.4,0.46,0.443410148008057,18,-0.359137027731391,-0.57427018760729,0.133482888551987,-0.120871688391751,-0.0679641094077391,-1.12553615652079,0.350328883635714,-0.314966660708375,-0.0366408672153427,0.0262691454642711,-0.365116268964653,-0.0489051581143972
"Nebraska","NE",1,0.4,-0.454095469941484,36.5225584190989,-0.72762304999667,0.251648429136482,-0.491144759962009,-0.52,0.535066359523648,0.42,0.4,0.46,-0.165669725629384,13,-0.294731396172772,-0.258737117493395,0.152099748880019,-0.646400768355885,-0.685819649478094,-0.297298469806967,-0.367409233771481,-0.0750422514527927,-0.328915691747029,-0.290789242093783,-0.365116268964653,0.343543641569021
"Nevada","NV",0,0.4,0.0836865137257124,45.9026605256376,0.280552530062285,0.0532517462309002,0.203214774517836,0.48,0.103744704930976,-0.58,-0.6,-0.54,1.0524900216455,23,-0.270112719703782,0.624755478825514,-0.0433772845643138,0.27327512158135,0.240963660627438,0.454474081450345,0.241305372130824,0.136747984457091,-0.370669238108699,-0.0254251568549767,0.361273649442683,-0.169658634940066
"New Hampshire","NH",0,-0.6,-0.0319172823069205,43.886275738451,-0.306631302224485,-0.216434861312119,0.175807569032009,0.48,-0.194138805040746,-0.58,0.4,-0.54,-0.287485700356872,12,1.42961070131759,-0.700483415652849,-0.180344185549118,-1.04054757832899,-1.09772334285833,-0.314068613527069,-0.494603330527186,-0.89596416641069,-0.788204701725395,0.367451540771306,-0.390396660556555,0.494485487601106
"New Jersey","NJ",0,0.4,0.500091674469405,53.1656835425683,-0.128626461703237,-0.79980714928232,0.469711597731624,0.48,-0.551154681894796,-0.58,-0.6,-0.54,0.0779622238255925,15,0.638785537804629,0.372329022734397,-0.185663288499985,-0.383636228373818,-0.376891879442917,0.728127687845846,-0.494603330527186,-0.0669380897743054,-0.579436969917047,0.477732719052369,0.103413655205276,0.494485487601106
"New Mexico","NM",0,0.4,0.481769525632867,52.8461049175538,0.152879366355986,-0.321652025757024,0.293379352589524,0.48,-0.309487120649639,-0.58,-0.6,-0.54,0.808858072190521,21,-0.383961608310879,0.90873524192802,-0.0353986301380145,1.06156874152755,0.858819200697794,-0.00366619324102219,0.677399418150386,0.36231878682763,-0.412422784470369,-0.868042284658717,-0.415677052148458,-0.0790935273208124
"New York","NY",0,-0.6,0.89798091935661,60.10574821094,0.469180254477937,-0.857773472647789,0.723537960441204,0.48,-1.08938407900715,-0.58,0.4,-0.54,-0.287485700356872,12,0.792648035666021,0.435435636757176,-0.163057100958803,0.404657391572383,0.446915507317557,0.498975966033902,-0.494603330527186,0.00949506486796714,-0.495929877193708,0.56561303299509,0.405092994868648,0.554862226013941
"North Carolina","NC",1,0.4,0.044782275216121,45.2240849305449,-0.130393300310583,0.0992653225538776,-0.00893805810433766,-0.52,0.0442455367686003,0.42,0.4,0.46,0.321594173280569,17,-0.0506649178183725,0.246115794688839,-0.152418895057071,0.27327512158135,0.240963660627438,-0.191610831084788,0.350328883635714,0.300031098736909,0.63141587457137,0.32781924232655,-0.0162468649963961,-0.260223742559316
"North Dakota","ND",0,0.4,-0.439963827983266,36.7690453757597,-0.682850067031693,0.310281615200406,-0.442830486218177,-0.52,0.395190484869328,0.42,0.4,0.46,-0.531117649811848,10,-0.32073152980002,-0.416503652550342,0.799700533147978,-0.777783038346919,-0.891771496168213,-0.677423168502137,-0.494603330527186,-0.387899018427209,-0.0366408672153427,0.0210997152323462,-0.301072610265166,0.252978533949772
"Ohio","OH",0,0.4,0.0680478666713677,45.6298880813516,0.373088031980068,-0.159038191757706,0.112797953184674,0.48,0.091793716425506,0.42,0.4,0.46,-0.165669725629384,13,0.0297312983650243,-0.321843731516174,-0.145770016368488,0.0105105815992825,0.0350118139373201,0.0747952594830154,0.123196568000526,0.0253778923718628,0.422648142763023,-0.22358664907876,0.278691036909135,-0.260223742559316
